timestamp,tower_id,active_users,download_mbps,upload_mbps,latency_ms,packet_loss_pct,signal_strength_dbm,cpu_utilization_pct,memory_utilization_pct,call_drop_rate,connection_failure_rate
2026-01-01 00:00:00,T1000,559,77.93,28.89,60.23,1.34,-76.87,68.95,62.67,1.17,1.88
2026-01-01 06:00:00,T1000,444,73.01,26.45,25.87,0.29,-79.5,37.85,58.14,0.86,0.51
2026-01-01 12:00:00,T1000,675,76.61,25.41,30.75,1.12,-74.11,36.19,58.76,1.08,1.3
2026-01-01 18:00:00,T1000,427,107.78,24.92,34.42,2.08,-84.77,52.51,35.4,0.57,1.64
2026-01-01 00:00:00,T1001,588,82.57,24.31,41.99,0.47,-80.76,44.47,65.57,1.74,0.27
2026-01-01 06:00:00,T1001,538,74.22,20.94,51.12,2.22,-67.55,39.93,51.91,1.73,2.18
2026-01-01 12:00:00,T1001,442,77.22,18.36,33.04,2.07,-64.15,49.14,65.04,1.75,1.05
2026-01-01 18:00:00,T1001,543,103.07,24.79,60.65,0.0,-68.42,51.04,52.01,1.56,0.11
2026-01-01 00:00:00,T1002,473,85.36,33.87,39.82,0.93,-79.01,60.98,58.29,1.13,1.86
2026-01-01 06:00:00,T1002,511,94.53,20.79,41.72,1.23,-86.71,53.55,57.61,1.5,1.34
2026-01-01 12:00:00,T1002,330,73.69,22.94,36.98,1.39,-71.77,72.63,56.75,1.68,1.45
2026-01-01 18:00:00,T1002,269,79.6,25.36,69.63,1.37,-72.59,49.58,43.31,2.3,2.03
2026-01-01 00:00:00,T1003,594,66.36,33.42,30.98,1.91,-57.48,38.11,49.34,1.57,1.15
2026-01-01 06:00:00,T1003,313,81.03,18.63,49.74,0.86,-62.6,40.6,51.78,2.07,0.64
2026-01-01 12:00:00,T1003,527,99.61,15.36,46.85,1.68,-68.75,35.16,41.8,1.87,1.71
2026-01-01 18:00:00,T1003,530,85.2,20.92,47.32,1.71,-80.71,72.39,59.74,0.67,1.96
2026-01-01 00:00:00,T1004,383,91.81,31.95,36.79,2.17,-71.7,59.86,73.97,1.33,0.97
2026-01-01 06:00:00,T1004,393,67.76,24.54,48.41,1.69,-68.38,50.16,69.54,1.31,3.4
2026-01-01 12:00:00,T1004,575,67.14,18.57,49.82,1.34,-69.29,55.68,54.27,0.91,0.44
2026-01-01 18:00:00,T1004,446,92.85,26.28,32.54,1.62,-71.92,39.39,56.54,1.54,0.7
2026-01-01 00:00:00,T1005,542,88.41,31.5,55.54,0.54,-82.5,56.18,60.14,1.86,4.2
2026-01-01 06:00:00,T1005,568,97.03,30.72,51.51,1.28,-68.93,40.73,52.63,1.16,1.56
2026-01-01 12:00:00,T1005,777,51.99,29.12,28.87,1.17,-66.29,50.77,44.22,1.0,1.98
2026-01-01 18:00:00,T1005,412,83.25,25.27,38.48,3.0,-69.93,25.7,56.86,1.04,2.1
